Facultad / Departamento;D;M;E/P;Total
Administración;55;10;;65
Arquitectura;10;16;1;27
Diseño;7;23;1;31
Decanatura Facultad;;1;;1
Arte;;17;;17
Historia del Arte;8;;;8
Humanidades y literatura;16;;1;17
Música;8;11;2;21
CEPER;3;5;;8
Decanatura Facultad;4;2;;6
Ciencias Biológicas;21;3;;24
Física;23;2;;25
Geociencias;9;;1;10
Matemáticas;38;9;4;51
Química;19;;;19
Decanatura Facultad;3;1;;4
Antropología;15;;;15
Ciencia Política;16;;;16
Filosofía;11;;1;12
Historia y Geografía*;13;;;13
Lenguas y Cultura;12;18;;30
Psicología;16;;;16
Decanatura Facultad;9;1;;10
CIDER;12;;;12
Derecho;35;6;;41
Economía;32;5;;37
Educación;17;;;17
Escuela de Gobierno;15;;1;16
Ing. Biomédica;8;1;;9
Ing. Civil y Ambiental;21;6;;26
Ing. Eléctrica y Electrónica;17;2;;19
Ing. Industrial;16;12;;28
Ing. Mecánica;12;2;;14
Ing. Química y Alimentos**;12;;;12
Ing. Sistemas;23;8;;31
Decanatura Facultad;6;2;2;10
Medicina;20;2;;22
Otras unidades;3;;;
